id,isotope,element,cas number,reporting unit,acceptance criteria for quality control reference materials
Q101000,Al,Al27,7429-90-5,ppm (µg/g),10%
Q101001,Sb ,Sb121,7440-36-0,ppm (µg/g),25%
Q101001,Sb ,Sb123,7440-36-0,ppm (µg/g),25%
Q101002,As,As75,7440-38-2,ppm (µg/g),25%
Q101003,Ba,Ba135,7440-39-3,ppm (µg/g),10%
Q101003,Ba,Ba137,7440-39-3,ppm (µg/g),10%
Q101003,Ba,Ba138,7440-39-3,ppm (µg/g),10%
Q101004,Be,Be9,7440-41-7,ppm (µg/g),15%
Q101005,Bi,Bi209,7440-69-9,ppm (µg/g),25%
Q101006,B,B10,7440-42-8,ppm (µg/g),25%
Q101006,B,B11,7440-42-8,ppm (µg/g),25%
Q101007,Br,Br81,7726-95-6,ppm (µg/g),Qualitative only
Q101007,Br,Br79,7726-95-6,ppm (µg/g),Qualitative only
Q101008,Cd,Cd110,7440-43-9,ppm (µg/g),25%
Q101008,Cd,Cd111,7440-43-9,ppm (µg/g),25%
Q101008,Cd,Cd112,7440-43-9,ppm (µg/g),25%
Q101008,Cd,Cd114,7440-43-9,ppm (µg/g),25%
Q101009,Ca,Ca42,7440-70-2,ppm (µg/g),10%
Q101009,Ca,Ca43,7440-70-2,ppm (µg/g),10%
Q101009,Ca,Ca44,7440-70-2,ppm (µg/g),10%
Q101009,Ca,Ca40,7440-70-2,ppm (µg/g),10%
Q101010,Ce,Ce140,7440-45-1,ppm (µg/g),15%
Q101011,Cs,Cs133,7440-46-2,ppm (µg/g),15%
Q101012,Cl,Cl35,7782-50-5,ppm (µg/g),30%
Q101013,Cr,Cr52,7440-47-3,ppm (µg/g),15%
Q101013,Cr,Cr53,7440-47-3,ppm (µg/g),15%
Q101014,Co,Co59,7440-48-4,ppm (µg/g),15%
Q101015,Cu,Cu63,7440-50-8,ppm (µg/g),20%
Q101015,Cu,Cu65,7440-50-8,ppm (µg/g),20%
Q101016,Dy,Dy161,7429-91-6,ppm (µg/g),10%
Q101016,Dy,Dy163,7429-91-6,ppm (µg/g),10%
Q101017,Er,Er166,7440-52-0,ppm (µg/g),15%
Q101017,Er,Er167,7440-52-0,ppm (µg/g),15%
Q101018,Eu,Eu151,7440-53-1,ppm (µg/g),15%
Q101018,Eu,Eu153,7440-53-1,ppm (µg/g),15%
Q101019,Gd,Gd155,7440-54-2,ppm (µg/g),15%
Q101019,Gd,Gd157,7440-54-2,ppm (µg/g),15%
Q101019,Gd,Gd158,7440-54-2,ppm (µg/g),15%
Q101020,Ga,Ga69,7440-55-3,ppm (µg/g),20%
Q101020,Ga,Ga71,7440-55-3,ppm (µg/g),20%
Q101021,Ge,Ge72,7440-56-4,ppm (µg/g),25%
Q101021,Ge,Ge73,7440-56-4,ppm (µg/g),25%
Q101021,Ge,Ge74,7440-56-4,ppm (µg/g),25%
Q101022,Au,Au197,7440-57-5,ppm (µg/g),25%
Q101023,Hf,Hf177,7440-58-6,ppm (µg/g),15%
Q101023,Hf,Hf178,7440-58-6,ppm (µg/g),15%
Q101023,Hf,Hf179,7440-58-6,ppm (µg/g),15%
